,CD,BA
MOB3C,11962,14048
ATPAF1,93682,106997
TEX38,515,556
EFCAB14-AS1,1,5
EFCAB14,127239,143803
CYP4B1,2,2
CYP4A11,0,0
CYP4X1,2,0
CYP4Z1,2,0
CYP4A22-AS1,145,156
CYP4A22,2,0
LINC00853,369,410
PDZK1IP1,0,2
TAL1,32,28
AL135960.1,1,0
STIL,54295,61495
CMPK1,312492,351674
LINC01389,195,246
FOXE3,42,45
FOXD2-AS1,3178,3139
FOXD2,739,840
LINC01738,0,0
TRABD2B,20,25
AL691459.1,0,0
AC096541.1,0,1
LINC02794,0,0
AL356289.1,0,0
AL109659.1,0,0
SLC5A9,2,1
AL109659.2,8,4
SPATA6,2689,2839
AGBL4,230,219
AL391844.1,2,1
BEND5,133656,121995
AL645507.1,0,0
AC099788.1,1,2
AL590432.1,0,0
AGBL4-IT1,0,0
ELAVL4,21,36
AL592182.2,0,0
AL592182.1,0,0
LINC02808,3,2
AL592182.3,0,0
DMRTA2,27,20
AL049637.2,2,1
FAF1,74154,86138
AL049637.1,0,0
CDKN2C,38401,45156
C1orf185,4,0
LINC01562,92,101
RNF11,59821,69041
AL162430.2,25,29
TTC39A,666,682
TTC39A-AS1,31,39
EPS15,170672,192248
AC104170.2,447,486
AC104170.1,742,563
OSBPL9,135827,150276
NRDC,389994,462033
AL050343.2,848,847
AL050343.3,204,218
RAB3B,1341,1156
TXNDC12,215704,240480
KTI12,40179,48423
AL445685.1,76,73
TXNDC12-AS1,22,20
BTF3L4,235451,258614
ZFYVE9,2667,3099
CC2D1B,30242,32862
AL513218.1,62,83
AL513218.2,450,544
ORC1,43274,48372
PRPF38A,292047,333813
TUT4,283037,328546
AL591167.1,56,76
GPX7,87296,98355
SHISAL2A,15903,17885
COA7,45877,56242
ZYG11B,35084,37379
ZYG11A,701,744
AC099677.4,4,3
ECHDC2,49350,53008
SCP2,266676,290280
PODN,8,3
AL445183.1,0,0
SLC1A7,9,13
AL445183.2,0,0
CPT2,48215,53347
AL606760.2,1029,1134
CZIB,128804,152287
AL606760.3,1299,1460
MAGOH,563705,646092
AL606760.1,2867,3173
LRP8,80091,88182
AL355483.3,201,215
AL355483.1,175,208
AL355483.2,0,0
LINC01771,5927,6388
AC119428.2,101,129
AC119428.1,0,0
LINC02812,539,555
DMRTB1,1,1
GLIS1,21,26
NDC1,41570,45166
YIPF1,33186,38122
DIO1,36,52
HSPB11,403426,438007
LRRC42,52318,60076
LDLRAD1,2,4
TMEM59,365105,406988
TCEANC2,60080,67824
CDCP2,31,30
AL357673.2,16,16
CYB5RL,12983,13939
MRPL37,265855,309287
SSBP3,110087,126913
SSBP3-AS1,321,355
AL161644.1,1420,1539
AL035415.1,2,0
AC099796.2,8,11
LINC02784,0,2
ACOT11,1434,1588
FAM151A,2,2
AL590093.1,0,0
MROH7,72,63
TTC4,144289,170804
PARS2,7269,8612
TTC22,4566,5923
AC096536.1,6,1
LEXM,472,714
DHCR24,66697,68096
AC096536.3,13,25
AC096536.2,215,199
DHCR24-DT,1919,2043
AL590440.2,54,59
TMEM61,324,327
AL590440.1,0,0
BSND,23,33
PCSK9,17,17
USP24,68551,80399
MIR4422HG,158,170
AL603840.1,3,11
LINC01755,0,0
LINC01753,0,0
AL353681.1,0,0
AC119674.1,1,2
LINC01767,0,0
PLPP3,1952,2788
PRKAA2,302,239
FYB2,1,2
AL360295.1,0,0
C8A,0,0
C8B,0,1
AL161740.1,1,0
DAB1,478,597
AL390243.1,0,0
DAB1-AS1,3,7
AL445193.2,0,0
OMA1,52648,59921
AL035411.3,16,20
TACSTD2,846,890
MYSM1,139056,156669
AL136985.3,195,220
JUN,700766,796518
LINC01135,1967,2116
AL136985.2,59,54
AL136985.1,2,4
LINC02777,775,794
LINC01358,4721,5532
AL592431.2,0,0
AL592431.1,15,23
AC093425.1,1910,2079
AC093424.1,151,180
FGGY,35326,35779
AL035416.1,14,16
HOOK1,4813,4353
CYP2J2,718,747
C1orf87,2,0
LINC02778,0,0
LINC01748,3,0
AC099792.1,0,2
NFIA,22249,28939
NFIA-AS2,7,9
NFIA-AS1,7,5
AC099791.3,0,1
AC099791.4,50,68
TM2D1,158708,172200
AC099791.2,5889,6276
PATJ,18412,18655
L1TD1,254,319
KANK4,44,33
USP1,419961,492057
DOCK7,27577,28666
ANGPTL3,133,96
AC103923.1,129,112
ATG4C,27592,30877
AC099794.1,18,34
